;CAT;DESCRICAO
604;H58;Outros transtornos do olho e anexos em doenças classificadas em outra parte
605;H59;Transtornos do olho e anexos pós-procedimento não classificados em outra parte
606;H60;Otite externa
607;H61;Outros transtornos do ouvido externo
608;H62;Transtornos do ouvido externo em doenças classificadas em outra parte
609;H65;Otite média não-supurativa
610;H66;Otite média supurativa e as não especificadas
611;H67;Otite média em doenças classificadas em outra parte
612;H68;Salpingite e obstrução da trompa de Eustáquio
613;H69;Outros transtornos da trompa de Eustáquio
614;H70;Mastoidite e afecções correlatas
615;H71;Colesteatoma do ouvido médio
616;H72;Perfuração da membrana do tímpano
617;H73;Outros transtornos da membrana do tímpano
618;H74;Outros transtornos do ouvido médio e da mastóide
619;H75;Outros transtornos do ouvido médio e da mastóide em doenças classificadas em outra parte
620;H80;Otosclerose
621;H81;Transtornos da função vestibular
622;H82;Síndromes vertiginosas em doenças classificadas em outra parte
623;H83;Outros transtornos do ouvido interno
624;H90;Perda de audição por transtorno de condução e/ou neuro-sensorial
625;H91;Outras perdas de audição
626;H92;Otalgia e secreção auditiva
627;H93;Outros transtornos do ouvido não classificados em outra parte
628;H94;Outros transtornos do ouvido em doenças classificadas em outra parte
629;H95;Transtornos do ouvido e da apófise mastóide pós-procedimentos, não classificados em outra parte
630;I00;Febre reumática sem menção de comprometimento do coração
631;I01;Febre reumática com comprometimento do coração
632;I02;Coréia reumática
633;I05;Doenças reumáticas da valva mitral
634;I06;Doenças reumáticas da valva aórtica
635;I07;Doenças reumáticas da valva tricúspide
636;I08;Doenças de múltiplas valvas
637;I09;Outras doenças reumáticas do coração
638;I10;Hipertensão essencial (primária)
639;I11;Doença cardíaca hipertensiva
640;I12;Doença renal hipertensiva
641;I13;Doença cardíaca e renal hipertensiva
642;I15;Hipertensão secundária
643;I20;Angina pectoris
644;I21;Infarto agudo do miocárdio
645;I22;Infarto do miocárdio recorrente
646;I23;Algumas complicações atuais subseqüentes ao infarto agudo do miocárdio
647;I24;Outras doenças isquêmicas agudas do coração
648;I25;Doença isquêmica crônica do coração
649;I26;Embolia pulmonar
650;I27;Outras formas de doença cardíaca pulmonar
651;I28;Outras doenças dos vasos pulmonares
652;I30;Pericardite aguda
653;I31;Outras doenças do pericárdio
654;I32;Pericardite em doenças classificadas em outra parte
655;I33;Endocardite aguda e subaguda
656;I34;Transtornos não-reumáticos da valva mitral
657;I35;Transtornos não-reumáticos da valva aórtica
658;I36;Transtornos não-reumáticos da valva tricúspide
659;I37;Transtornos da valva pulmonar
660;I38;Endocardite de valva não especificada
661;I39;Endocardite e transtornos valvulares cardíacos em doenças classificadas em outra parte
662;I40;Miocardite aguda
663;I41;Miocardite em doenças classificadas em outra parte
664;I42;Cardiomiopatias
665;I43;Cardiomiopatia em doenças classificadas em outra parte
666;I44;Bloqueio atrioventricular e do ramo esquerdo
667;I45;Outros transtornos de condução
668;I46;Parada cardíaca
669;I47;Taquicardia paroxística
670;I48;Flutter e fibrilação atrial
671;I49;Outras arritmias cardíacas
672;I50;Insuficiência cardíaca
673;I51;Complicações de cardiopatias e doenças cardíacas mal definidas
674;I52;Outras afecções cardíacas em doenças classificadas em outra parte
675;I60;Hemorragia subaracnóide
676;I61;Hemorragia intracerebral
677;I62;Outras hemorragias intracranianas não-traumáticas
678;I63;Infarto cerebral
679;I64;Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico
680;I65;Oclusão e estenose de artérias pré-cerebrais que não resultam em infarto cerebral
681;I66;Oclusão e estenose de artérias cerebrais que não resultam em infarto cerebral
682;I67;Outras doenças cerebrovasculares
683;I68;Transtornos cerebrovasculares em doenças classificadas em outra parte
684;I69;Seqüelas de doenças cerebrovasculares
685;I70;Aterosclerose
686;I71;Aneurisma e dissecção da aorta
687;I72;Outros aneurismas
688;I73;Outras doenças vasculares periféricas
689;I74;Embolia e trombose arteriais
690;I77;Outras afecções das artérias e arteríolas
691;I78;Doenças dos capilares
692;I79;Transtornos das artérias, das arteríolas e dos capilares em doenças classificadas em outra parte
693;I80;Flebite e tromboflebite
694;I81;Trombose da veia porta
695;I82;Outra embolia e trombose venosas
696;I83;Varizes dos membros inferiores
697;I84;Hemorróidas
698;I85;Varizes esofagianas
699;I86;Varizes de outras localizações
700;I87;Outros transtornos das veias
701;I88;Linfadenite inespecífica
702;I89;Outros transtornos não-infecciosos dos vasos linfáticos e dos gânglios linfáticos
703;I95;Hipotensão
704;I97;Transtornos do aparelho circulatório, subseqüentes a procedimentos não classificados em outra parte
705;I98;Outros transtornos do aparelho circulatório em doenças classificadas em outra parte
706;I99;Outros transtornos do aparelho circulatório e os não especificados
707;J00;Nasofaringite aguda [resfriado comum]
708;J01;Sinusite aguda
709;J02;Faringite aguda
710;J03;Amigdalite aguda
711;J04;Laringite e traqueíte agudas
712;J05;Laringite obstrutiva aguda [crupe] e epiglotite
713;J06;Infecções agudas das vias aéreas superiores de localizações múltiplas e não especificadas
714;J09;Influenza [gripe] devida a vírus identificado da gripe aviária
715;J10;Influenza devida a outro vírus da influenza [gripe] identificado
716;J11;Influenza [gripe] devida a vírus não identificado
717;J12;Pneumonia viral não classificada em outra parte
718;J13;Pneumonia devida a Streptococcus pneumoniae
719;J14;Pneumonia devida a Haemophilus infuenzae
720;J15;Pneumonia bacteriana não classificada em outra parte
721;J16;Pneumonia devida a outros microorganismos infecciosos especificados não classificados em outra parte
722;J17;Pneumonia em doenças classificadas em outra parte
723;J18;Pneumonia por microorganismo não especificada
724;J20;Bronquite aguda
725;J21;Bronquiolite aguda
726;J22;Infecções agudas não especificada das vias aéreas inferiores
727;J30;Rinite alérgica e vasomotora
728;J31;Rinite, nasofaringite e faringite crônicas
729;J32;Sinusite crônica
730;J33;Pólipo nasal
731;J34;Outros transtornos do nariz e dos seios paranasais
732;J35;Doenças crônicas das amígdalas e das adenóides
733;J36;Abscesso periamigdaliano
734;J37;Laringite e laringotraqueíte crônicas
735;J38;Doenças das cordas vocais e da laringe não classificadas em outra parte
736;J39;Outras doenças das vias aéreas superiores
737;J40;Bronquite não especificada como aguda ou crônica
738;J41;Bronquite crônica simples e a mucopurulenta
739;J42;Bronquite crônica não especificada
740;J43;Enfisema
741;J44;Outras doenças pulmonares obstrutivas crônicas
742;J45;Asma
743;J46;Estado de mal asmático
744;J47;Bronquectasia
745;J60;Pneumoconiose dos mineiros de carvão
746;J61;Pneumoconiose devida a amianto [asbesto] e outras fibras minerais
747;J62;Pneumoconiose devida a poeira que contenham sílica
748;J63;Pneumoconiose devida a outras poeiras inorgânicas
749;J64;Pneumoconiose não especificada
750;J65;Pneumoconiose associada com tuberculose
751;J66;Doenças das vias aéreas devida a poeiras orgânicas específicas
752;J67;Pneumonite de hipersensibilidade devida a poeiras orgânicas
753;J68;Afecções respiratórias devidas a inalação de produtos químicos, gases, fumaças e vapores
754;J69;Pneumonite devida a sólidos e líquidos
755;J70;Afecções respiratórias devida a outros agentes externos
756;J80;Síndrome do desconforto respiratório do adulto
757;J81;Edema pulmonar, não especificado de outra forma
758;J82;Eosinofilia pulmonar, não classificada em outra parte
759;J84;Outras doenças pulmonares intersticiais
760;J85;Abscesso do pulmão e do mediastino
761;J86;Piotórax
762;J90;Derrame pleural não classificado em outra parte
763;J91;Derrame pleural em afecções classificadas em outra parte
764;J92;Placas pleurais
765;J93;Pneumotórax
766;J94;Outras afecções pleurais
767;J95;Afecções respiratórias pós-procedimentos não classificadas em outra parte
768;J96;Insuficiência respiratória não classificada de outra parte
769;J98;Outros transtornos respiratórios
770;J99;Transtornos respiratórios em doenças classificadas em outra parte
771;K00;Distúrbios do desenvolvimento e da erupção dos dentes
772;K01;Dentes inclusos e impactados
773;K02;Cárie dentária
774;K03;Outras doenças dos tecidos dentários duros
775;K04;Doenças da polpa e dos tecidos periapicais
776;K05;Gengivite e doenças periodontais
777;K06;Outros transtornos da gengiva e do rebordo alveolar sem dentes
778;K07;Anomalias dentofaciais (inclusive a maloclusão)
779;K08;Outros transtornos dos dentes e de suas estruturas de sustentação
780;K09;Cistos da região bucal não classificados em outra parte
781;K10;Outras doenças dos maxilares
782;K11;Doenças das glândulas salivares
783;K12;Estomatite e lesões correlatas
784;K13;Outras doenças do lábio e da mucosa oral
785;K14;Doenças da língua
786;K20;Esofagite
787;K21;Doença de refluxo gastroesofágico
788;K22;Outras doenças do esôfago
789;K23;Transtornos do esôfago em doenças classificadas em outra parte
790;K25;Úlcera gástrica
791;K26;Úlcera duodenal
792;K27;Úlcera péptica de localização não especificada
793;K28;Úlcera gastrojejunal
794;K29;Gastrite e duodenite
795;K30;Dispepsia
796;K31;Outras doenças do estômago e do duodeno
797;K35;Apendicite aguda
798;K36;Outras formas de apendicite
799;K37;Apendicite, sem outras especificações
800;K38;Outras doenças do apêndice
801;K40;Hérnia inguinal
802;K41;Hérnia femoral
803;K42;Hérnia umbilical
804;K43;Hérnia ventral
805;K44;Hérnia diafragmática
806;K45;Outras hérnias abdominais
807;K46;Hérnia abdominal não especificada
808;K50;Doença de Crohn [enterite regional]
809;K51;Colite ulcerativa
810;K52;Outras gastroenterites e colites não-infecciosas
811;K55;Transtornos vasculares do intestino
812;K56;Íleo paralítico e obstrução intestinal sem hérnia
813;K57;Doença diverticular do intestino
814;K58;Síndrome do cólon irritável
815;K59;Outros transtornos funcionais do intestino
816;K60;Fissura e fístula das regiões anal e retal
817;K61;Abscesso das regiões anal e retal
818;K62;Outras doenças do reto e do ânus
819;K63;Outras doenças do intestino
820;K65;Peritonite
821;K66;Outros transtornos do peritônio
822;K67;Comprometimento do peritônio, em doenças infecciosas classificadas em outra parte
823;K70;Doença alcoólica do fígado
824;K71;Doença hepática tóxica
825;K72;Insuficiência hepática não classificada em outra parte
826;K73;Hepatite crônica não classificada em outra parte
827;K74;Fibrose e cirrose hepáticas
828;K75;Outras doenças inflamatórias do fígado
829;K76;Outras doenças do fígado
830;K77;Transtornos do fígado em doenças classificadas em outra parte
831;K80;Colelitíase
832;K81;Colecistite
833;K82;Outras doenças da vesícula biliar
834;K83;Outras doenças das vias biliares
835;K85;Pancreatite aguda
836;K86;Outras doenças do pâncreas
837;K87;Transtornos da vesícula biliar, das vias biliares e do pâncreas em doenças classificadas em outra parte
838;K90;Má-absorção intestinal
839;K91;Transtornos do aparelho digestivo pós-procedimentos, não classificados em outra parte
840;K92;Outras doenças do aparelho digestivo
841;K93;Transtornos de outros órgãos digestivos em doenças classificadas em outra parte
842;L00;Síndrome da pele escaldada estafilocócica do recém-nascido
843;L01;Impetigo
844;L02;Abscesso cutâneo, furúnculo e antraz
845;L03;Celulite (Flegmão)
846;L04;Linfadenite aguda
847;L05;Cisto pilonidal
848;L08;Outras infecções localizadas da pele e do tecido subcutâneo
849;L10;Pênfigo
850;L11;Outras afecções acantolíticas
851;L12;Penfigóide
852;L13;Outras afecções bolhosas
853;L14;Afecções bolhosas em doenças classificadas em outra parte
854;L20;Dermatite atópica
855;L21;Dermatite seborréica
856;L22;Dermatite das fraldas
857;L23;Dermatites alérgicas de contato
858;L24;Dermatites de contato por irritantes
859;L25;Dermatite de contato não especificada
860;L26;Dermatite esfoliativa
861;L27;Dermatite devida a substâncias de uso interno
862;L28;Líquen simples crônico e prurigo
863;L29;Prurido
864;L30;Outras dermatites
865;L40;Psoríase
866;L41;Parapsoríase
867;L42;Pitiríase rósea
868;L43;Líquen plano
869;L44;Outras afecções pápulo-descamativas
870;L45;Afecções pápulo-descamativas em doenças classificadas em outra parte
871;L50;Urticária
872;L51;Eritema polimorfo (eritema multiforme)
873;L52;Eritema nodoso
874;L53;Outras afecções eritematosas
875;L54;Eritema em doenças classificadas em outra parte
876;L55;Queimadura solar
877;L56;Outras alterações agudas da pele devidas a radiação ultravioleta
878;L57;Alterações da pele devidas à exposição crônica à radiação não ionizante
879;L58;Radiodermatite
880;L59;Outras afecções da pele e do tecido subcutâneo relacionadas com a radiação
881;L60;Afecções das unhas
882;L62;Afecções das unhas em doenças classificadas em outra parte
883;L63;Alopécia areata
884;L64;Alopécia androgênica
885;L65;Outras formas não cicatriciais da perda de cabelos ou pêlos
886;L66;Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]
887;L67;Anormalidades da cor e do pedículo dos cabelos e dos pêlos
888;L68;Hipertricose
889;L70;Acne
890;L71;Rosácea
891;L72;Cistos foliculares da pele e do tecido subcutâneo
892;L73;Outras afecções foliculares
893;L74;Afecções das glândulas sudoríparas écrinas
894;L75;Afecções das glândulas sudoríparas apócrinas
895;L80;Vitiligo
896;L81;Outros transtornos da pigmentação
897;L82;Ceratose seborréica
898;L83;Acantose nigricans
899;L84;Calos e calosidades
900;L85;Outras formas de espessamento epidérmico
901;L86;Ceratodermia em doenças classificadas em outra parte
902;L87;Transtornos da eliminação transepidérmica
903;L88;Piodermite gangrenosa
904;L89;Úlcera de decúbito
905;L90;Afecções atróficas da pele
906;L91;Afecções hipertróficas da pele
907;L92;Afecções granulomatosas da pele e do tecido subcutâneo
908;L93;Lúpus eritematoso
909;L94;Outras afecções localizadas do tecido conjuntivo
910;L95;Vasculite limitada a pele não classificadas em outra parte
911;L97;Úlcera dos membros inferiores não classificada em outra parte
912;L98;Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte
913;L99;Outras afecções da pele e do tecido subcutâneo em doenças classificadas em outra parte
914;M00;Artrite piogênica
915;M01;Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte
916;M02;Artropatias reacionais
917;M03;Artropatias pós-infecciosas e reacionais em doenças infecciosas classificadas em outra parte
918;M05;Artrite reumatóide soro-positiva
919;M06;Outras artrites reumatóides
920;M07;Artropatias psoriásicas e enteropáticas
921;M08;Artrite juvenil
922;M09;Artrite juvenil em doenças classificadas em outra parte
923;M10;Gota
924;M11;Outras artropatias por deposição de cristais
925;M12;Outras artropatias especificadas
926;M13;Outras artrites
927;M14;Artropatias em outras doenças classificadas em outra parte
928;M15;Poliartrose
929;M16;Coxartrose [artrose do quadril]
930;M17;Gonartrose [artrose do joelho]
931;M18;Artrose da primeira articulação carpometacarpiana
932;M19;Outras artroses
933;M20;Deformidades adquiridas dos dedos das mãos e dos pés
934;M21;Outras deformidades adquiridas dos membros
935;M22;Transtornos da rótula [patela]
936;M23;Transtornos internos dos joelhos
937;M24;Outros transtornos articulares específicos
938;M25;Outros transtornos articulares não classificados em outra parte
939;M30;Poliarterite nodosa e afecções correlatas
940;M31;Outras vasculopatias necrotizantes
941;M32;Lúpus eritematoso disseminado [sistêmico]
942;M33;Dermatopoliomiosite
943;M34;Esclerose sistêmica
944;M35;Outras afecções sistêmicas do tecido conjuntivo
945;M36;Doenças sistêmicas do tecido conjuntivo em doenças classificadas em outra parte
946;M40;Cifose e lordose
947;M41;Escoliose
948;M42;Osteocondrose da coluna vertebral
949;M43;Outras dorsopatias deformantes
950;M45;Espondilite ancilosante
951;M46;Outras espondilopatias inflamatórias
952;M47;Espondilose
953;M48;Outras espondilopatias
954;M49;Espondilopatias em doenças classificadas em outra parte
955;M50;Transtornos dos discos cervicais
956;M51;Outros transtornos de discos intervertebrais
957;M53;Outras dorsopatias não classificadas em outra parte
958;M54;Dorsalgia
959;M60;Miosite
960;M61;Calcificação e ossificação do músculo
961;M62;Outros transtornos musculares
962;M63;Transtornos de músculo em doenças classificadas em outra parte
963;M65;Sinovite e tenossinovite
964;M66;Ruptura espontânea de sinóvia e de tendão
965;M67;Outros transtornos das sinóvias e dos tendões
966;M68;Transtorno de sinóvias e de tendões em doenças classificadas em outra parte
967;M70;Transtornos dos tecidos moles relacionados com o uso, uso excessivo e pressão
968;M71;Outras bursopatias
969;M72;Transtornos fibroblásticos
970;M73;Transtornos dos tecidos moles em doenças classificadas em outra parte
971;M75;Lesões do ombro
972;M76;Entesopatias dos membros inferiores, excluindo pé
973;M77;Outras entesopatias
974;M79;Outros transtornos dos tecidos moles, não classificados em outra parte
975;M80;Osteoporose com fratura patológica
976;M81;Osteoporose sem fratura patológica
977;M82;Osteoporose em doenças classificadas em outra parte
978;M83;Osteomalácia do adulto
979;M84;Transtornos da continuidade do osso
980;M85;Outros transtornos da densidade e da estrutura ósseas
981;M86;Osteomielite
982;M87;Osteonecrose
983;M88;Doença de Paget do osso (osteíte deformante)
984;M89;Outros transtornos ósseos
985;M90;Osteopatias em doenças classificadas em outra parte
986;M91;Osteocondrose juvenil do quadril e da pelve
987;M92;Outras osteocondroses juvenis
988;M93;Outras osteocondropatias
989;M94;Outros transtornos das cartilagens
990;M95;Outras deformidades adquiridas do sistema osteomuscular e do tecido conjuntivo
991;M96;Transtornos osteomusculares pós-procedimentos não classificados em outra parte
992;M99;Lesões biomecânicas não classificadas em outra parte
993;N00;Síndrome nefrítica aguda
994;N01;Síndrome nefrítica rapidamente progressiva
995;N02;Hematúria recidivante e persistente
996;N03;Síndrome nefrítica crônica
997;N04;Síndrome nefrótica
998;N05;Síndrome nefrítica não especificada
999;N06;Proteinúria isolada com lesão morfológica especificada
1000;N07;Nefropatia hereditária não classificada em outra parte
1001;N08;Transtornos glomerulares em doenças classificadas em outra parte
1002;N10;Nefrite túbulo-intersticial aguda
1003;N11;Nefrite túbulo-intersticial crônica
1004;N12;Nefrite túbulo-intersticial não especificada se aguda ou crônica
1005;N13;Uropatia obstrutiva e por refluxo
1006;N14;Afecções tubulares e túbulo-intersticiais induzidas por drogas ou metais pesados
1007;N15;Outras doenças renais túbulo-intersticiais
1008;N16;Transtornos renais túbulo-intersticiais em doenças classificadas em outra parte
1009;N17;Insuficiência renal aguda
1010;N18;Insuficiência renal crônica
1011;N19;Insuficiência renal não especificada
1012;N20;Calculose do rim e do ureter
1013;N21;Calculose do trato urinário inferior
1014;N22;Calculose do trato urinário inferior em doenças classificadas em outra parte
1015;N23;Cólica nefrética não especificada
1016;N25;Transtornos resultantes de função renal tubular alterada
1017;N26;Rim contraído, não especificado
1018;N27;Hipoplasia renal de causa desconhecida
1019;N28;Outros transtornos do rim e do ureter não classificado em outra parte
1020;N29;Outros transtornos do rim e do ureter em doenças classificadas em outra parte
1021;N30;Cistite
1022;N31;Disfunções neuromusculares da bexiga não classificados em outra parte
1023;N32;Outros transtornos da bexiga
1024;N33;Transtornos da bexiga em doenças classificadas em outra parte
1025;N34;Uretrite e síndrome uretral
1026;N35;Estenose da uretra
1027;N36;Outros transtornos da uretra
1028;N37;Transtornos da uretra em doenças classificadas em outra parte
1029;N39;Outros transtornos do trato urinário
1030;N40;Hiperplasia da próstata
1031;N41;Doenças inflamatórias da próstata
1032;N42;Outras afecções da próstata
1033;N43;Hidrocele e espermatocele
1034;N44;Torção do testículo
1035;N45;Orquite e epididimite
1036;N46;Infertilidade masculina
1037;N47;Hipertrofia do prepúcio, fimose e parafimose
1038;N48;Outros transtornos do pênis
1039;N49;Transtornos inflamatórios de órgãos genitais masculinos, não classificados em outra parte
1040;N50;Outros transtornos dos órgãos genitais masculinos
1041;N51;Transtornos dos órgãos genitais masculinos em doenças classificadas em outra parte
1042;N60;Displasias mamárias benignas
1043;N61;Transtornos inflamatórios da mama
1044;N62;Hipertrofia da mama
1045;N63;Nódulo mamário não especificado
1046;N64;Outras doenças da mama
1047;N70;Salpingite e ooforite
1048;N71;Doença inflamatória do útero, exceto o colo
1049;N72;Doença inflamatória do colo do útero
1050;N73;Outras doenças inflamatórias pélvicas femininas
1051;N74;Transtornos inflamatórios da pelve feminina em doenças classificadas em outra parte
1052;N75;Doenças da glândula de Bartholin
1053;N76;Outras afecções inflamatórias da vagina e da vulva
1054;N77;Ulceração e inflamação vulvovaginais em doenças classificadas em outra parte
1055;N80;Endometriose
1056;N81;Prolapso genital feminino
1057;N82;Fístulas do trato genital feminino
1058;N83;Transtornos não-inflamatórios do ovário, da trompa de Falópio e do ligamento largo
1059;N84;Pólipo do trato genital feminino
1060;N85;Outros transtornos não-inflamatórios do útero, exceto do colo do útero
1061;N86;Erosão e ectrópio do colo do útero
1062;N87;Displasia do colo do útero
1063;N88;Outros transtornos não-inflamatórios do colo do útero
1064;N89;Outros transtornos não-inflamatórios da vagina
1065;N90;Outros transtornos não-inflamatórios da vulva e do períneo
1066;N91;Menstruação ausente, escassa e pouco freqüente
1067;N92;Menstruação excessiva, freqüente e irregular
1068;N93;Outros sangramentos anormais do útero e da vagina
1069;N94;Dor e outras afecções associadas com os órgãos genitais femininos e com o ciclo menstrual
1070;N95;Transtornos da menopausa e da perimenopausa
1071;N96;Abortamento habitual
1072;N97;Infertilidade feminina
1073;N98;Complicações associadas à fecundação artificial
1074;N99;Transtornos do trato geniturinário pós-procedimentos não classificados em outra parte
1075;O00;Gravidez ectópica
1076;O01;Mola hidatiforme
1077;O02;Outros produtos anormais da concepção
1078;O03;Aborto espontâneo
1079;O04;Aborto por razões médicas e legais
1080;O05;Outros tipos de aborto
1081;O06;Aborto não especificado
1082;O07;Falha de tentativa de aborto
1083;O08;Complicações conseqüentes a aborto e gravidez ectópica ou molar
1084;O10;Hipertensão pré-existente complicando a gravidez, o parto e o puerpério
1085;O11;Distúrbio hipertensivo pré-existente com proteinúria superposta
1086;O12;Edema e proteinúria gestacionais [induzidos pela gravidez], sem hipertensão
1087;O13;Hipertensão gestacional [induzida pela gravidez] sem proteinúria significativa
1088;O14;Hipertensão gestacional [induzida pela gravidez] com proteinúria significativa
1089;O15;Eclâmpsia
1090;O16;Hipertensão materna não especificada
1091;O20;Hemorragia do início da gravidez
1092;O21;Vômitos excessivos na gravidez
1093;O22;Complicações venosas na gravidez
1094;O23;Infecções do trato geniturinário na gravidez
1095;O24;Diabetes mellitus na gravidez
1096;O25;Desnutrição na gravidez
1097;O26;Assistência materna por outras complicações ligadas predominantemente à gravidez
1098;O28;"Achados anormais do rastreamento [""screening""] antenatal da mãe"
1099;O29;Complicações de anestesia administrada durante a gravidez
1100;O30;Gestação múltipla
1101;O31;Complicações específicas de gestação múltipla
1102;O32;Assistência prestada à mãe por motivo de apresentação anormal, conhecida ou suspeitada, do feto
1103;O33;Assistência prestada à mãe por uma desproporção conhecida ou suspeita
1104;O34;Assistência prestada à mãe por anormalidade, conhecida ou suspeita, dos órgãos pélvicos maternos
1105;O35;Assistência prestada à mãe por anormalidade e lesão fetais, conhecidas ou suspeitadas
1106;O36;Assistência prestada à mãe por outros problemas fetais conhecidos ou suspeitados
1107;O40;Polihidrâmnio
1108;O41;Outros transtornos das membranas e do líquido amniótico
1109;O42;Ruptura prematura de membranas
1110;O43;Transtornos da placenta
1111;O44;Placenta prévia
1112;O45;Descolamento prematuro da placenta [abruptio placentae]
1113;O46;Hemorragia anteparto não classificada em outra parte
1114;O47;Falso trabalho de parto
1115;O48;Gravidez prolongada
1116;O60;Trabalho de parto pré-termo
1117;O61;Falha na indução do trabalho de parto
1118;O62;Anormalidades da contração uterina
1119;O63;Trabalho de parto prolongado
1120;O64;Obstrução do trabalho de parto devida à má-posição ou má-apresentação do feto
1121;O65;Obstrução do trabalho de parto devida a anormalidade pélvica da mãe
1122;O66;Outras formas de obstrução do trabalho de parto
1123;O67;Trabalho de parto e parto complicados por hemorragia intraparto não classificados em outra parte
1124;O68;Trabalho de parto e parto complicados por sofrimento fetal
1125;O69;Trabalho de parto e parto complicados por anormalidade do cordão umbilical
1126;O70;Laceração do períneo durante o parto
1127;O71;Outros traumatismos obstétricos
1128;O72;Hemorragia pós-parto
1129;O73;Retenção da placenta e das membranas, sem hemorragias
1130;O74;Complicações de anestesia durante o trabalho de parto e o parto
1131;O75;Outras complicações do trabalho de parto e do parto não classificadas em outra parte
1132;O80;Parto único espontâneo
1133;O81;Parto único por fórceps ou vácuo-extrator
1134;O82;Parto único por cesariana
1135;O83;Outros tipos de parto único assistido
1136;O84;Parto múltiplo
1137;O85;Infecção puerperal
1138;O86;Outras infecções puerperais
1139;O87;Complicações venosas no puerpério
1140;O88;Embolia de origem obstétrica
1141;O89;Complicações da anestesia administrada durante o puerpério
1142;O90;Complicações do puerpério não classificadas em outra parte
1143;O91;Infecções mamárias associadas ao parto
1144;O92;Outras afecções da mama e da lactação associadas ao parto
1145;O94;Seqüelas de complicações da gravidez, parto e puerpério
1146;O95;Morte obstétrica de causa não especificada
1147;O96;Morte, por qualquer causa obstétrica, que ocorre mais de 42 dias, mas menos de 1 ano, após o parto
1148;O97;Morte por seqüelas de causas obstétricas diretas
1149;O98;Doenças infecciosas e parasitárias maternas classificáveis em outra parte mas que compliquem a gravidez, o parto e o puerpério
1150;O99;Outras doenças da mãe, classificadas em outra parte, mas que complicam a gravidez o parto e o puerpério
1151;P00;Feto e recém-nascido afetados por afecções maternas, não obrigatoriamente relacionadas com a gravidez atual
1152;P01;Feto e recém-nascido afetados por complicações maternas da gravidez
1153;P02;Feto e recém-nascido afetados por complicações da placenta, do cordão umbilical e das membranas
1154;P03;Feto e recém-nascido afetados por outras complicações do trabalho de parto e do parto
1155;P04;Feto e recém-nascido afetados por influências nocivas transmitidas ao feto via placenta ou leite materno
1156;P05;Crescimento fetal retardado e desnutrição fetal
1157;P07;Transtornos relacionados com a gestação de curta duração e peso baixo ao nascer não classificados em outra parte
1158;P08;Transtornos relacionados com a gestação prolongada e peso elevado ao nascer
1159;P10;Laceração intracraniana e hemorragia devidas a traumatismo de parto
1160;P11;Outros traumatismos de parto do sistema nervoso central
1161;P12;Lesão do couro cabeludo devida a traumatismo de parto
1162;P13;Lesões do esqueleto devidas a traumatismo de parto
1163;P14;Lesões ao nascer do sistema nervoso periférico
1164;P15;Outros traumatismos de parto
1165;P20;Hipóxia intra-uterina
1166;P21;Asfixia ao nascer
1167;P22;Desconforto (angústia) respiratório(a) do recém-nascido
1168;P23;Pneumonia congênita
1169;P24;Síndrome de aspiração neonatal
1170;P25;Enfisema intersticial e afecções correlatas originadas no período perinatal
1171;P26;Hemorragia pulmonar originada no período perinatal
1172;P27;Doença respiratória crônica originada no período perinatal
1173;P28;Outras afecções respiratórias originadas no período perinatal
1174;P29;Transtornos cardiovasculares originados no período perinatal
1175;P35;Doenças virais congênitas
1176;P36;Septicemia bacteriana do recém-nascido
1177;P37;Outras doenças infecciosas e parasitárias congênitas
1178;P38;Onfalite do recém-nascido com ou sem hemorragia leve
1179;P39;Outras infecções específicas do período perinatal
1180;P50;Perda sangüínea fetal
1181;P51;Hemorragia umbilical do recém-nascido
1182;P52;Hemorragia intracraniana não-traumática do feto e do recém-nascido
1183;P53;Doença hemorrágica do feto e do recém-nascido
1184;P54;Outras hemorragias neonatais
1185;P55;Doença hemolítica do feto e do recém-nascido
1186;P56;Hidropsia fetal devida a doença hemolítica
1187;P57;Kernicterus
1188;P58;Icterícia neonatal devida a outras hemólises excessivas
1189;P59;Icterícia neonatal devida a outras causas e às não especificadas
1190;P60;Coagulação intravascular disseminada do feto e do recém-nascido
1191;P61;Outros transtornos hematológicos perinatais
1192;P70;Transtornos transitórios do metabolismo dos carboidratos específicos do feto e do recém-nascido
1193;P71;Transtornos transitórios do metabolismo do cálcio e do magnésio do período neonatal
1194;P72;Outros transtornos endócrinos transitórios do período neonatal
1195;P74;Outros distúrbios eletrolíticos e metabólicos transitórios do período neonatal
1196;P75;Íleo meconial
1197;P76;Outras obstruções intestinais do recém-nascido
1198;P77;Enterocolite necrotizante do feto e do recém-nascido
1199;P78;Outros transtornos do aparelho digestivo do período perinatal
1200;P80;Hipotermia do recém-nascido
1201;P81;Outros distúrbios da regulação térmica do recém-nascido
1202;P83;Outras afecções comprometendo o tegumento específicas do feto e do recém-nascido
1203;P90;Convulsões do recém-nascido
1204;P91;Outros distúrbios da função cerebral do recém-nascido
1205;P92;Problemas de alimentação do recém-nascido
1206;P93;Reações e intoxicações devidas a drogas administradas ao feto e ao recém-nascido
1207;P94;Transtornos do tônus muscular do recém-nascido
1208;P95;Morte fetal de causa não especificada
1209;P96;Outras afecções originadas no período perinatal
